LinePoint;
-0.5	,0.0	,0;
-0.5	,0.5	,0;
-0.4	,0.6	,0;
-0.3	,0.7	,0;
-0.25	,0.8	,0;
-0.2	,0.825	,0;
-0.175	,0.8	,0;
-0.1	,0.1	,0;
-0.075	,0.05	,0;
-0.05	,0.025	,0;
0.0	,0.0	,0;
0.05	,-0.0		,0;
0.1	,-0.0075	,0;
0.15	,-0.0225	,0;
0.2	,-0.045		,0;
0.25	,-0.075		,0;
0.3	,-0.1125	,0;
0.35	,-0.1575	,0;
0.4	,-0.210		,0;
0.45	,-0.27		,0;
0.5	,-0.3375	,0;
0.55	,-0.4125	,0;
0.575	,-0.495		,0;	//aa
0.55	,-0.5775	,0;
0.5	,-0.6525	,0;
0.45	,-0.72		,0;
0.4	,-0.78		,0;
0.35	,-0.8325	,0;
0.3	,-0.8775	,0;
0.25	,-0.915		,0;
0.2	,-0.945		,0;
0.15	,-0.96		,0;
0.1	,-0.9675	,0;
0.05	,-0.9675	,0;
-0.05	,-0.9675	,0;
-0.1	,-0.96		,0;
-0.15	,-0.945		,0;
-0.2	,-0.915		,0;
-0.25	,-0.8775	,0;
-0.3	,-0.8325	,0;
-0.35	,-0.78		,0;
-0.4	,-0.72		,0;
-0.45	,-0.6525	,0;
-0.5	,-0.5775	,0;
-0.5	,-0.0000001	,0;
-0.5	,0.0		,0;
Marker;		//マーカー数と座標の数は絶対に合わせること
0;
3;
0.5,0.0;
0.7,0.7;
0.9,-0.7;
1;
14;
0.3	,0.0;
0.35	,0.05;
0.4	,0.15;
0.45	,0.3;
0.5	,0.5;
0.55	,0.75;
0.6	,1.0;
0.65	,0.0;
0.7	,0.0;
0.75	,0.0;
0.8	,0.0;
0.85	,0.0;
0.9	,0.0;
0.95	,0.0;
EOF;
